sentiment	review
1	Kailash Bikas Bank issuing 20% (31.60 lakh units) right shares from today; offer closes on Chaitra 10
1	Mero Microfinance and HIDCL distributing 10% and 5% cash dividends respectively to shareholders from today; transferring direct to bank accounts
1	Garima Bikas Bank’s 10th AGM today; to endorse 20% bonus & 70% right share
1	Bhargav Bikas Bank issuing 12 lakh units (100%) right shares from Falgun 24; offer closes on Chaitra 28
1	NCC Bank publishes first quarterly report after merger; net profit of Rs 7.76 crore & EPS at Rs 3.31 only
1	Synergy Power IPO allotment today at 4PM; IPO oversubscribed by 35 times
1	Bank of Kathmandu Lumbini to endorse 23% bonus & 62 lakh units FPO promoter shares from 22nd AGM on Chaitra 3; to also change its name back to “Bank of Kathmandu Limited”
1	Last day to clinch 5% bonus share of ILFCO Microfinance
1	United Modi Hydropower issuing 17.25 lakh units IPO shares from Falgun 19; NIBL Capital manages the issue
1	NEPSE surges by double digit to close at 1316.80; investors filled with excitement
1	Mount Makalu Dev. Bank to endorse 6.40% bonus and 50% right; 6th AGM on Falgun 25
1	ICRA Nepal assigns IPO Grade 2+ to Standard Chartered’s FPO; highest public issue grading so far
1	Janata Bank earns Rs 16.13 crore in Q2; CCD ratio at 80.46%
1	Shikhar Insurance 13.62 lakh units FPO shares in SEBON pipeline
1	Almost 40% right shares (10.40 lakh units) of Sewa Bikas Bank unclaimed by promoters; total 12.61 lakh unclaimed right shares to be auctioned from Falgun 17
1	69.41 lakh units bonus shares of Shikhar Insurance & 4 other companies listed in NEPSE; Miteri Dev Bank lists 10.56 lakh right shares
1	NEPSE publishes list of Group “A” companies (good read for smart investors)
1	Nabil Bank earns Rs 1.74 arba in Q2; EPS at Rs 56.69
1	Neco Insurance issuing 100% (32.40 lakh units) right share from today; offer closes on Chaitra 7
1	Summit Microfinance Development Bank reports 50% surge in net profit to Rs 2.52 crore; net worth per share at Rs 189
1	Government-owned Rastriya Banijya Bank’s profit rises to Rs 1.21 arba; CCD ratio at 67.90%
1	Ace Dev Bank profit shoots through the roof to 2.6 times; earns Rs 12.98 crore in Q2
1	Garima Bikas Bank opens 38th branch in Birgha, Syangja
1	Kumari Bank’s 50% right share receives approval from SEBON
1	NEPSE down 7 days in a row; NRB relaxation on margin lending crucial
1	Over Rs 67 arba liquidity from IPO refunds coming back to primary market investors in the next 20 days
1	Samata Microfinance and Synergy Power IPO allotment this week
1	Taragaon Regency Hotels net profit increases 286% in the second quarter to Rs 12.60 crore
1	Last day to secure 100% right share & 52.63% dividend of Deprosc Laghubitta
1	NMB Bank reports impressive 69% rise in net profit to Rs 74.12 crore; net worth per share at Rs 183
1	Civil Bank publishes first financial report after merger with International Leasing and Finance company; net profit up a meager 9%
1	Last day to apply 100% right share of Saptakoshi Dev. Bank
1	Sana Kisan Bikas Bank reports 52% surge in net profit; EPS at Rs 62.68
1	Triveni Bikas Bank SGM today, to endorse final approval for merger with Janata Bank
1	NEPSE increases 16.90 points to close at 1,326.60; Buyers regain confidence
1	NEPSE lists 1.65 crore units bonus & right share of Prime Commercial & 4 other companies
1	Investors Forum addresses investors and the market
1	NIBL Samriddhi Fund-1 reports decline in NAV in Poush; NIBL Pragati Fund’s NAV at Rs 9.93
1	Shree Investment Finance reports 82% rise in net profit; NPL at 0.24%
1	SEOS and SIGS-1 Net Asset Value declines to Rs. 14.33 and Rs. 24.77 respectively on Poush end
1	Nepal Investment Bank net profit surges by 50.30% in Q2 to Rs 1.64 arba
1	Triveni Bikas Bank reports net profit surge by 101%; EPS at Rs 16.53
1	Country Development Bank reports 153% rise in net profit; EPS at Rs 13.32
1	Muktinath Bikas Bank shifts its registered office from Pokhara to Kathmandu
1	Massive fall in market; See what experts have to say
1	National Microfinance reports 172% rise in net profit; Mithila Laghubitta’s profit up by meager 1.63%
1	Western Development Bank reports 93% rise in net profit; EPS at Rs.33.71
1	ShareSansar conducting Share Market Training in Pokhara for the 3rd time; Technical Analysis class outside valley for the first time
1	Tourism Dev Bank reports 103% increase in net profit; reserve grows by almost 3 times
1	Last day to apply for 80% (29.54 lakh units) right shares of Sagarmatha Finance; offer ends today
1	Himalayan Power Partner issuing 10.65 lakh units IPO shares for the locals of Lamjung district from today
1	Fewa Bikas Bank gets approval from SEBON for ASBA System
1	Udaya Mohan Shrestha elected as chairman of Prime Commercial Bank
1	NRB issuing ‘Foreign Employment Saving Bond 2078 Kha’ worth Rs 50 crore from today
1	Laxmi Laghubitta Q2 earning rises by a staggering 111.93% to Rs 5.18 crore; EPS rises to Rs 47.16
1	Garima Bikas Bank able to rise its EPS by 40.13%; earns Rs 15.95 crore in Q2
1	Cutoff Price for 17,479.60 units promoter and 42,259 units ordinary shares of Miteri Dev. Bank stood at Rs 297 and Rs 445
1	Yeti Development Bank earns Rs 14.41 crore in Q2; NPL declines to 3.8 percent
1	Western Development Bank’s operating profit grows by 109%
1	Market closes in green, turnover rises
1	Citizens Bank International introduces 9.5% fixed deposit scheme for 180 days
1	37.72 lakh units shares of Progressive Finance, Siddhartha Dev Bank and United Finance listed in NEPSE
1	Manjushree Finance issuing 175% (43.86 lakh units) right shares from today; offer closes on Falgun 11
1	Sagarmatha Finance reports 83 % increase in net profit; Reserve grows by 88%
1	Deva Bikas Bank reports outstanding growth in Q2; earns Rs 14.03 crore; EPS rises to Rs 27.95
1	Nepal SBI Bank Limited appoints NMB Capital Limited as issue manager for its upcoming 10:4 right issue
1	Sagarmatha Finance shows tremendous growth
1	See how much money mutual funds have kept as bank balance and how much have been invested in shares
1	Nepal Bank expedites issue of 23.74% right; appoints Civil Capital Markets as issue manager
1	Nepal Rastra Bank to re-purchase NRB bonds worth Rs 40 arba today
1	Last day to grab 2.70 lakh units IPO shares of Chhyangdi Hydropower for the locals of Lamjung district
1	Gurkhas Finance reports astounding increase in net profit by 20 times; Huge write back of Rs 23 crore
1	Tinau Development Bank reports 102% increase in net profit; reserve grows by 88%
1	Satisfactory business growth and huge write back leads to 45.19% profit growth of Citizens Bank in Q2
1	NIC Asia Bank reports impressive results; earns Rs 72.14 crore; EPS remains at Rs 24.79 in Q2
1	Green Development Bank’s 4th AGM endorsing the agenda to issue 1:4 rights share
1	Nepal Life Insurance issuing 30,96,429 units FPO shares at Rs 1,425 from today; Applicants can apply up to 30,960 units
1	“No shortage of Nepal Life Insurance FPO application forms” – Siddhartha Capital
1	International Investment and Business Conference to be Held on February 11, 2017 in Kathmandu, Nepal
1	Cutoff Price for 28,289.50 auctioned ordinary shares of Guheshwori Mechant stood at Rs 232
1	Triveni Bikas Bank auctioning 3.57 lakh units unclaimed right shares from Magh 13 to Magh 20 at Rs 100 and above
1	Last day to apply for 51.06 lakh units (120%) right shares of Sewa Bikas Bank
1	Jebils Finance 7th AGM today; to endorse 12.50% bonus & 100% right share
1	Sagarmatha Insurance 20th AGM today; to approve 22% bonus share & issuance of FPO shares at premium price
1	Rural Microfinance 18th AGM today; to approve 20% dividend
1	Forward Community Microfinance to issue 6 lakh units IPO shares from Magh 9; Applicants can apply up to 3,000 units
1	Cutoff Price for 48,989.25 auctioned promoter shares of Sindhu Bikas Bank stood at Rs. 160
1	Muktinath Bikas Bank auctioning 1.13 lakh units unclaimed right shares from Magh 12; LTP stood at Rs 790
1	Miteri Dev. Bank to auction 59,738.6 unit shares at Rs 100 & above from today
1	Reliance Finance 7th AGM today; to endorse 15% bonus and 60% right share
1	How much to apply in NLIC FPO? High chances of 32% allotment to small investors; big investors may get just below 8% (Allotment analysis)
1	NEPSE surges by double digit despite massive drop in turnover
1	Western Development Bank Limited has extended its ongoing 100% right shares till Magh 12
1	Siddhartha Bank auctioning 1.58 lakh units unclaimed right shares from Magh 11; LTP stood Rs 980
1	Last day to bid 18,253 and 28,289.50 units ordinary shares of United Finance and Guheswori Merchant at Rs 100 and above
1	NEPSE continues to slide down; Loses 6.69 points with turnover of Rs. 41.18 crore
1	Samata IPO oversubscribed by 213 times; around 0.46% allotment on flat basis, confirmed lottery to all
1	Nagbeli Laghubitta Bikas Bank Limited has extended its ongoing 50% right shares till Magh 10
1	Araniko Development auctioning 51,090 units ordinary and 43,759 units promoter shares from Magh 10
1	Machhapuchchhre Bank’s 18th AGM endorses 20.75% bonus and 12% right share
1	Mirmire Microfinance appoints Prabhu Capital as issue manager for 50% right share
1	16 investors allotted 20,973 units auctioned ordinary shares of Surya Life Insurance; Preliminary cut-off price stood Rs 653
1	Market down by 26.03 points with turnover of just Rs 39.73 crore; All sectors landed in red
1	9th AGM of Prime Commercial Bank to endorse 23% bonus share; to acquire Biratlaxmi & Country Dev. Bank; AGM on Magh 12
1	Nepal Life Insurance to issue 30,96,429 units FPO shares worth Rs 4.41 arba at Rs 1,425/unit from Poush 27; Applicants can apply up to 30,960 units
1	Samata Microfinance floating 94,800 kitta IPO shares from today; Maximum applications only up to 500 Kitta
1	Last day to bid 46,361.25 units ordinary shares of Manaslu Bikas Bank at Rs 100 & above
1	Citizens Bank’s 25% right share added in Sebon pipeline
1	Market surges by 22.34 points on the first day of 2017; Turnover above Rs 57.33 crore
1	Nepal SBI FPO Final Update: oversubscribed by 73 times till last day; Possibility of lottery to all
1	Suryodaya Laghubitta share trading commences from today; trading range starts from Rs 162 to Rs 486
1	Last day to secure 14% bonus & 50% right share of Deva Bikas Bank
1	Synergy Power IPO Final Update: Collected Rs 6.81 arba till last day, Small and large investors likely to get 3.28% and 2.65% shares
1	Nepal SBI Bank’s FPO creates charm among investors; oversubscribed by 42 times till 3rd day; issue closing today
1	Stock Market surges 30.23 points to close at 1443.38, NLIC drives insurance sector growth by 286 points
1	Mission Dev. Bank 100% right share added in Sebon pipeline
1	Preliminary Cut off price for 15,903 units auctioned ordinary shares of Laxmi Laghubitta stood at Rs 1000
1	Nepal SBI FPO Update: oversubscribed by 42.85 times till 3rd day; issue closing today
1	Laxmi Value Fund-1 NAV decreases to Rs 12.26, reports profit of Rs. 6.22 Crores in Mangsir
1	Sindhu Bikas Bank re-auctioning 48,989.25 unit promoter unclaimed right shares at Rs 100 & above from today
1	Sahara Bikas Bank auctioning unsold 23,605 units at Rs 100 & above from today
1	NEPSE Lists 3.367 Crore Units Bonus and Right Shares of 8 companies, Conversion of promoter shares of Purnima
1	Synergy Power IPO collected approx. Rs 1.87 arba from 49,000 applicants on third day; IPO oversubscribed by 16 times
1	Stock market increases by 5.62 points; turnover above Rs 46 crore
1	SEOS and SIGS-1 Net Asset Value declines to Rs. 15.91 and Rs. 25.37 on Mangsir end, loss of Rs. 23.67 and Rs. 24.9 crores respectively
1	Nepal SBI Bank FPO oversubscribed by 22 times; issue to close tomorrow
1	Mega Bank and Samsara Remit signs pact
1	Deprosc Laghubitta declares 52.63% dividend; Paid up to reach Rs 60.50 crore
1	Last day to secure dividends & right shares of 5 companies
1	Nabil Balanced Fund-1 posts net loss of Rs 25.74 crore; NAV dropped to Rs 22.48 in Mangsir end
1	MetLife Insurance announces bonus rates for term-based insurance policies
1	NMB Hybrid Fund L-1 urges unit holders to provide DEMAT account
1	Market down by 25.04 points with turnover above Rs 59 crore; all sector landed in red
1	Janaki Finance trading resumes after correction in book closure date;last day to secure 10% bonus share
1	Book closure for 50% right share of Deva Bikas Bank on Poush 18
1	Nepal SBI FPO being issued at Rs 971/unit
1	Synergy Power IPO collected approx. Rs 1.06 arba from 18,999 applicants on second day; IPO oversubscribed by 7.55 times
1	Samata Microfinance to float 94,800 kitta IPO shares from Poush 19; Maximum applications only upto 500 Kitta
1	Surya Life Insurance auctioning 20,973 units ordinary shares at Rs 100 & above from today
1	Last day to bid 15, 903 units ordinary shares of Laxmi Laghubitta at Rs 100 & above
1	Stock Market falls down to 16-days low to 1470.63 today; Index lost 25.36 points with minimal turnover above Rs 48.12 crore
1	Sebon approves to issue 100% Right Share of Neco Insurance; Offer letter by Poush end
1	Sana Kisan 15th AGM on Poush 28; to approve 25% bonus share
1	Support Microfinance appoints NMB Capital as issue manager to float IPO worth Rs 1.80 crore; IPO within Chaitra
1	Laxmi Laghubitta auctioning 15,903 units ordinary shares at Rs 100 & above from today
1	Sagarmatha Insurance 20th AGM on Poush 27; to approve 22% bonus share & issuance of FPO shares at premium price
1	Jebils Finance 7th AGM on Poush 27; to endorse 12.50% bonus & 100% right share
1	Gurkhas & Reliance Finance separate AGM on Poush 26; Gurkhas to endorse 50% right share; Reliance to approve 15% bonus & 60% right share
1	See which companies mutual funds hold the most shares of (with Top 5 in each sectors)
1	Samata Microfinance got approval from SEBON to float 94,800 units IPO shares; IPO within Poush end
1	Nepal SBI Bank to issue 67,767.87 units FPO shares worth Rs 6.58 crore at Rs 971/unit from Poush 10; Applicants can apply up to 670 units
1	Laxmi Laghubitta 5th AGM on Poush 22; to endorse 21.05% cash dividend; Book Closure on Poush 14
1	NEPSE 35th AGM approves 50% cash dividend; Establishing OTC Market soon
1	20th AGM of Chilime Hydropower on Poush 29; to endorse 20% dividend
1	Mount Makalu Dev. Bank auctioning unsold 4,528 units ordinary right shares at Rs 100& above from today
1	Guheswori Merchant AGM on Poush 22; to endorse 12% bonus share; Book Closure on Poush 6
1	See which mutual funds are trading lower and higher than their NAVs
1	Stock Market rises by double digit; Index increases by 13.98 points with turnover of Rs 49.39 crore
1	NEPSE lists 1.62 crore units right share of Century Commercial & Mega Bank
1	Capital Plan of RSDC Laghubitta; 15% bonus & 200% right share in FY 73/74;share trading started from today
1	Kanchan Dev. Bank to issue 50% (9.90 lakh units) Right Shares from Poush 18; Offer ends on Magh 23
1	Saptakoshi Development Bank’s 4th AGM to endorse 11% bonus & 130% right share; book closure for AGM & 100% right share is on Poush 8
1	Soaltee Hotel to approve 10% stock & 11.05% cash dividend; 42nd AGM on Poush 25
1	Synergy Power to float 21 lakh kitta IPO shares from Poush 8; Applicants can apply up to 21,000 Kitta shares
1	to endorse FPO worth Rs 330 crore
1	Premier Insurance to float FPO shares at premium
1	NLIC FPO Price set at Rs. 1,425 per unit
1	Nepal Life Insurance gets final approval to issue FPO
1	Womi Microfinance 5th AGM today; to approve 20% stock dividend; paid up capital to reach Rs 6.48 crore
1	Arun Finance 20th AGM today; to endorse 100% right share
1	Synergy Power publishing IPO offer letter tomorrow; IPO opening from Poush 8
1	Nepse Index signals stability; Positive by 6.65 points with turnover above Rs 48 crore
1	Saptakoshi Development Bank 100% right share book closure on 8th Poush, AGM on 28th Poush
1	Sindhu Bikas Bank to re-auction 48,989.25 unit promoter unclaimed right shares at Rs 100 & above from Poush 14
1	21st AGM of NMB Bank to endorse 19% bonus share & float FPO shares; AGM on Poush 24
1	National Life Insurance 28th AGM today; to endorse 30% bonus & 100% right share
1	Sahara Bikas Bank to auction unsold 23,605 units at Rs 100 & above from Poush 14
1	9th AGM of Purnima Bikas Bank on Poush 23; to endorse 16.467% bonus & 25% right share
1	Siddhartha Insurance 15th AGM on Poush 22; to endorse 30% bonus & 19.23% right share
1	Himalayan Power & Chhyangdi Hydropower receives approval from SEBON to float 10.65 lakh & 2.7 lakh units IPO shares respectively for locals of Lamjung District
1	Purnima Bikas Bank proposes 25% Right Share; 9th AGM on Poush 23
1	Nepal SBI Bank gets approval from SEBON to float 67,767.87 units FPO shares at Rs 971 premium price; Mahakali Bikas Bank’s 236,367.53 units FPO shares added in pipeline
1	Everest Bank 22nd AGM on Poush 23; to endorse 70% bonus & 33.33% right share; Book Closure for bonus on Poush 6
1	Surya Life Insurance to auction 20,973 units ordinary shares at Rs 100 & above from Poush 12
1	Last day to apply for 50% (41 lakh units) right share of Triveni Bikas Bank; Offer ends today
1	Citizens Bank appoints Sanima Capital as issue manager to issue 25% right share
1	Mirmire Microfinance 6th AGM on Poush 14; to endorse 50% bonus & 25% right share
1	Mega Bank proposes 13.25% bonus & 65% right share; paid up to reach Rs 7.56 arba
1	Siddhartha Bank declares 48.75% bonus share; recently closed 4:1 ratio right shares to get 39% bonus; Paid up to reach Rs 5.25 arba
1	Last day to grab public issue worth Rs 60 crore shares of NIBL Pragati Fund; already collected Rs 83.90 crore from 11,300 applicants till third day
1	Nagbeli Laghubitta issuing 50% (1.25 lakh units) right shares from today; ends on Poush 24
1	Reversing market spread optimistic vibes among investors; Market wraps up positively by 43.52 points with turnover exceeding Rs 1.19 arba
1	16 investor’s allotted 4,768 units auctioned ordinary shares of Womi Microfinance; Cut-off price stood Rs 1,002
1	Shangrila Development Bank declares 16.07% stock dividend; Paid up to reach Rs 1.24 arba
1	Nepal SBI Bank proposes 10:4 right share worth Rs 1.99 arba; Right Share after bonus & FPO share
1	Standard Chartered Bank 33.33% bonus share book closure on Mangsir 22; Only 6 trading days left
1	7th AGM of Kanchan Dev. Bank on Poush 9; to endorse 25% bonus & 30% right share
1	Prime Commercial Bank auctioning 4.84 lakh units unclaimed right shares from today till Mangsir 29; LTP stood Rs 521
1	Book closure for 80% right share of Sagarmatha Finance on Mangsir 24
1	Cosmos Dev Bank 5.03 lakh units’ right share listed; Kanchan Dev. Bank’s promoter share converted
1	Cut off price for 2.08 lakh units auctioned ordinary shares of Century Commercial Bank stood Rs 307
1	Market swing back from 1404.53 levels to close at 1510.16 points with huge turnover of Rs 1.10 arba; Historic volatility seen in Nepse
1	Market recovered from series of artificial fall; Relief to investors
1	‘The fall is temporary, market will bounce back’- Finance Minister Mahara
1	Kanchan Development Bank 50% Right Share book closure on Mangsir 30
1	Prabhu Bank to endorse 40% right share; Paid up capital to reach Rs 8.23 arba;15th AGM on Poush 8
1	Butwal Power Company 24th AGM on Poush 8; to endorse 7% stock & 20% cash dividend; Book closure on Mangsir 20
1	NRB approves 29.20% stock dividend of Om Dev. Bank
1	Bottlers Nepal (Terai) shareholders to get Rs 25 per share dividend; Book closure on Mangsir 26
1	Kamana & Sewa signs agreement for merger to form Kamana Sewa Bikas Bank; Paid up to reach Rs 2.06 arba; Kamana proposes 30% right share
1	Last day to apply 36% (9.28 lakh units) right share of Araniko Dev. Bank
1	NMB Sulav Investment Fund-1 NAV plunged to Rs 16.86 as on Kartik end; earning surges by 19.70%
1	Last day to bid 4.61 lakh units & 4, 768 units shares of Century Commercial Bank & Womi Microfinance respectively
1	Nirdhan Utthan 18th AGM today; to endorse 20% stock & 11.58% cash dividend
1	Alpine Dev. Bank auctioning 74,084 unit shares at Rs 100 & above from today
1	Sagarmatha Insurance declares 22% stock dividend; Paid up to reach Rs 53.82 crore
1	Ace & International Dev. Bank earns Rs 6.88 crore & Rs 1.81 crore respectively in Q1; Bagmati Dev. Bank reports net loss of Rs 1.68 crore
1	Western Dev. Bank to issue 100% (15.69 lakh units) Right Share from Mangsir 22; ends on Poush 26
1	Last day to apply 50% right share of Miteri Development Bank; Offer closes today
1	NEPSE index rises by 2.83 points to close at 1700.00 levels; More than 56K units of EBL traded amounting Rs 20.43 crore
1	Nepal Life Insurance earns Rs 5.89 crore in Q1; real profit to rise after actuarial valuation of the insurance fund
1	Nirdhan Utthan auctioning 1.91 lakh units promoter shares of Nepal Grameen at Rs 300 minimum; will earn Rs 3.84 cr minimum if all sold
1	Century Bank auctioning unsold 2.52 lakh units’ promoter shares and 2.08 lakh units’ ordinary shares from today till Mangsir 12; LTP stood Rs 429
1	Machhapuchchhre Bank profit rises to Rs 24.69 crore in Q1 but EPS decline from Rs 24.94 to Rs 21.17
1	Womi Microfinance auctioning 4,768 unit ordinary shares at Rs 100 & above from today
1	Sebon approves to issue 80% right share of Sagarmatha Finance; 100% right share of Bhargav Bikas Bank added in Sebon right share pipeline
1	NEPSE listed 26.47 lakh units bonus & right share of Sanima Bank and 7 companies
1	NB Insurance proposes 100% Right Share; Paid up to reach Rs 48.98 crore
1	Alpine Dev. Bank to auction 74,084 unit shares at Rs 100 & above from Mangsir 12
1	Arun Valley Hydropower earns Rs 85.97 lakh in Q1; EPS mere Rs 4.46
1	Mero Microfinance & Nagbeli Laghubitta profit surge by 35.44% & 47.02% respectively in Q1
1	Prabhu Bank registers meager profit rise by 7.93% to Rs 28.24 crore in Q1; NPL at 7.54%
1	Himalayan Bank & Kasthamandap Dev. Bank issuing 14.28% & 25% right shares respectively from today
1	One more IPO added in SEBON’s pipeline; Swadeshi Laghubitta to float 3 lakh unit IPO shares
1	Stock Market closes positively with 0.31 points on last trading day; Turnover above Rs 70.80 crore
1	SEBON approves to issue 175% & 100% Right Share of Manjushree Finance & Namaste Bittiya Sanstha respectively
1	Swabalamban Laghubitta declares 34% stock & 19.68% cash dividend; Paid up to reach Rs 41.84 crore
1	Mithila Laghubitta auctioning 2,533 unit ordinary shares at Rs 100 & above from today; LTP stood Rs 1,530
1	Nepal SBI & Laxmi Bank registers profit growth of Rs 35.44 crore & Rs 15.68 crore respectively in Q1
1	Last day to apply for 50% right share each of Muktinath Bikas Bank & Guheswori Merchant Finance
1	Nerude Laghubiita profit surge by 74.57%
1	Icra Nepal assigns Grade 4+ to upcoming IPO issue of Forward Community Microfinance; IPO within Poush end
1	Sindhu Bikas Bank to auction 2, 73,772 unit shares at Rs 100 & above from Mangsir 9
1	Tinau & Shine Resunga Dev Bank earns Rs 1.91 cr and Rs 6.78 cr respectively in Q1
1	RSDC Laghubitta & Mirmire Microfinance profit surges by 33.90% & 13.49% respectively in Q1
1	Gold price up by Rs 1,300 per tola
1	Profit of commercial banks likely to surge
1	Sebon introducing ASBA from mid-January
1	Womi Microfinance to auction 4,768 unit ordinary shares at Rs 100 & above from Kartik 28
1	Last day to grab 30 lakh unit IPO shares of Arun Kabeli Power; oversubscribed by more than 16 times till third day
1	Modest profit growth of Nabil Bank by 21.42% to Rs 80.60 crore in Q1; Reserve remains at Rs 6.24 arba
1	Seti Finance to issue 150% (9.51 lakh unit) right share from Mangsir 1
1	Synergy Power listed in SEBON IPO pipeline; to issue 21 lakh unit IPO shares
1	Prabhu Insurance 21st AGM today; to endorse 17% bonus & 50% right share
1	Stock Market closes positively by 6.25 points before Tihar Festival; Turnover above Rs 69.64 crore
1	Muktinath Bikas Bank 10th AGM on Mangsir 4; to endorse 34% bonus & 40% right share; Book closure on Kartik 24
1	Arun Kabeli Power IPO oversubscribed by 9.52 times till second day; collected Rs 2.63 arba from 41,000 applicants
1	Janata Bank to issue 50% (1.03 crore unit) right share from Mangsir 1
1	Siddhartha Bank issuing 25% (75.55 lakh units) right share from today
1	Last day to secure 50% right share of Machhapuchchhre Bank; Book Closure tomorrow
1	Nepse Index rises by 2.46 points with turnover of Rs 81.82 crore; Insurance sector surges by 105.08 points
1	NMB Hybrid Fund L-1 to refund excess IPO money from Kartik 17
